(
 (nil nil 0 0 0 nil nil)
 (nil nil 0 0 0 nil nil)
 (0 0 0 0 0 0 0)
 (0 0 0 0 0 0 0)
 (0 0 0 0 1 1 0)
 (nil nil 0 1 0 nil nil)
 (nil nil 0 0 0 nil nil)
)
###
(
 (nil nil 0 0 0 nil nil)
 (nil nil 0 0 0 nil nil)
 (0 0 0 0 0 0 0)
 (0 0 0 1 0 0 0)
 (0 0 0 1 1 1 0)
 (nil nil 0 0 0 nil nil)
 (nil nil 0 0 0 nil nil)
)
###
(
 (nil nil 0 0 0 nil nil)
 (nil nil 0 0 0 nil nil)
 (0 0 0 0 1 0 0)
 (0 0 0 0 1 1 0)
 (0 0 0 1 1 1 0)
 (nil nil 0 0 0 nil nil)
 (nil nil 0 0 0 nil nil)
)
###
(
 (nil nil 0 0 0 nil nil)
 (nil nil 0 0 1 nil nil)
 (0 0 0 0 1 1 0)
 (0 0 0 0 1 1 1)
 (0 0 0 1 1 1 1)
 (nil nil 0 0 0 nil nil)
 (nil nil 0 0 0 nil nil)
)
###
(
 (nil nil 0 0 0 nil nil)
 (nil nil 0 0 0 nil nil)
 (0 0 0 1 1 1 1)
 (0 0 0 0 1 1 1)
 (0 0 0 1 1 1 1)
 (nil nil 0 0 0 nil nil)
 (nil nil 0 0 0 nil nil)
)
###
(
 (nil nil 1 1 1 nil nil)
 (nil nil 1 1 1 nil nil)
 (1 1 1 1 1 1 1)
 (1 1 1 0 1 1 1)
 (1 1 1 1 1 1 1)
 (nil nil 1 1 1 nil nil)
 (nil nil 1 1 1 nil nil)
)
